status,recovered_abs_path,top_candidate,top_score,second_candidate,second_score,delta,reason,phase2_decision
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi/external/JUCE/BREAKING_CHANGES.md,external/JUCE/BREAKING_CHANGES.md,0.9018,external/JUCE/CHANGE_LIST.md,0.7581,0.1437,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi/external/JUCE/CHANGE_LIST.md,external/JUCE/CHANGE_LIST.md,0.9097,external/JUCE/BREAKING_CHANGES.md,0.7642,0.1455,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi/external/JUCE/CMakeLists.txt,external/JUCE/CMakeLists.txt,0.9117,external/JUCE/extras/CMakeLists.txt,0.8065,0.1052,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi/external/JUCE/CODE_OF_CONDUCT.md,external/JUCE/CODE_OF_CONDUCT.md,0.9156,external/JUCE/README.md,0.7177,0.1979,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi/external/JUCE/LICENSE.md,external/JUCE/LICENSE.md,0.8853,external/JUCE/README.md,0.7605,0.1248,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi_FINAL/python/mcp_workstation/ai_specializations.py,mcp_workstation/ai_specializations.py,0.8242,mcp_workstation/phases.py,0.6640,0.1602,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi_FINAL/python/mcp_workstation/phases.py,mcp_workstation/phases.py,0.8254,mcp_workstation/proposals.py,0.6953,0.1301,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi_FINAL/python/penta_core/server.py,python/penta_core/server.py,0.8790,python/penta_core/mixer.py,0.7451,0.1339,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi_FINAL/python/penta_core/utilities.py,python/penta_core/utilities.py,0.8825,python/penta_core/ml/gpu_utils.py,0.7489,0.1336,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/music_brain/emotion_scale/feel.py,music_brain/audio/feel.py,0.8496,music_brain/integrations/penta_core.py,0.7291,0.1205,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/music_brain/groove_kmidi/drum_analysis.py,music_brain/groove/drum_analysis.py,0.9120,music_brain/groove/drum_humanizer.py,0.8006,0.1114,ambiguous_or_medium_confidence_heuristic,approved_auto_apply
