status,recovered_abs_path,top_candidate,top_score,second_candidate,second_score,delta,reason,phase2_decision
conflict,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/scripts/stash_personal_code.py,scripts/server_penta-core.py,0.8647,scripts/demo_penta-core.py,0.8488,0.0159,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/KmiDi/external/JUCE/BREAKING_CHANGES.md,external/JUCE/BREAKING_CHANGES.md,0.7569,external/JUCE/CHANGE_LIST.md,0.6133,0.1436,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/KmiDi/external/JUCE/CHANGE_LIST.md,external/JUCE/CHANGE_LIST.md,0.7648,external/JUCE/BREAKING_CHANGES.md,0.6193,0.1455,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/KmiDi/external/JUCE/CMakeLists.txt,external/JUCE/CMakeLists.txt,0.7668,external/JUCE/extras/Projucer/CMakeLists.txt,0.7180,0.0488,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/KmiDi/external/JUCE/CODE_OF_CONDUCT.md,external/JUCE/CODE_OF_CONDUCT.md,0.7707,,0.0000,0.7707,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/KmiDi/external/JUCE/README.md,external/JUCE/README.md,0.7599,external/JUCE/docs/README.md,0.7114,0.0485,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/README.md,datasets/README.md,0.7864,models/onnx/README.md,0.6692,0.1172,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/src_penta-core/CMakeLists.txt,src_penta-core/CMakeLists.txt,0.8017,tests/penta_core/CMakeLists.txt,0.7545,0.0472,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/CONTRIBUTING.md,COPILOT_INSTRUCTIONS.md,0.8827,ANALYSIS_CORRECTIONS.md,0.8264,0.0563,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi/external/JUCE/README.md,external/JUCE/README.md,0.9048,external/JUCE/docs/README.md,0.8259,0.0789,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi/external/JUCE/modules/juce_graphics/image_formats/jpglib/README,external/JUCE/modules/juce_graphics/image_formats/jpglib/README,0.7740,external/JUCE/modules/juce_core/zip/zlib/README,0.6240,0.1500,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi_FINAL/engine/bindings/groove_bindings.cpp,bindings/groove_bindings.cpp,0.7542,bindings/osc_bindings.cpp,0.6944,0.0598,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi_FINAL/engine/cpp_music_brain/CMakeLists.txt,cpp_music_brain/CMakeLists.txt,0.8242,cpp_music_brain/tests/CMakeLists.txt,0.7470,0.0772,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi_FINAL/engine/src/CMakeLists.txt,build_fileio/CMakeLists.txt,0.7570,build_fileio/CMakeLists_fileio.txt,0.6970,0.0600,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi_FINAL/engine/src_penta-core/CMakeLists.txt,src_penta-core/CMakeLists.txt,0.8165,build_fileio/CMakeLists.txt,0.7216,0.0949,ambiguous_or_medium_confidence_heuristic,manual_review_required
conflict,/Volumes/KmiDi-external/KmiDi_MASTER_VAULTEXTERNAL/KmiDi/legacy/RECOVERY_SOURCE/Datasets_Project/KmiDi/KmiDi_FINAL/ml/models/dynamicsengine.json,miDiKompanion-clean/ml_training/deployment/models/dynamicsengine.json,0.7683,models/dynamicsengine.json,0.7001,0.0682,ambiguous_or_medium_confidence_heuristic,manual_review_required
